ticket_id,subject,body,channel,priority,created_ts,category,urgency,sentiment
TK-101507,App crashes when I upload a file,Not happy about this. App crashes when I upload a file. Any update would help.,web_form,Urgent,2026-01-04 05:20:00,Bug/Error,high,negative
TK-101508,Please add dark mode,I've been waiting for days!! Please add dark mode. Any update would help.,phone,High,2026-04-19 01:19:00,Feature Request,medium,negative
TK-101509,Invoice shows wrong amount,I've been waiting for days!! Invoice shows wrong amount. Please advise.,chat,High,2026-04-06 15:45:00,Billing,high,negative
TK-101570,What are your business hours,Please respond ASAP. What are your business hours. Let me know next steps.,chat,Medium,2026-05-27 21:09:00,General,low,neutral
TK-101571,Would love a mobile app,This is really frustrating. Would love a mobile app. Please advise.,twitter,Urgent,2026-06-19 05:20:00,Feature Request,medium,negative
TK-101572,Tracking number is invalid,Not happy about this. Tracking number is invalid. I need this resolved.,chat,High,2026-02-28 08:30:00,Shipping,high,negative
TK-101573,Dashboard shows blank screen,Not happy about this. Dashboard shows blank screen. I need this resolved.,phone,Urgent,2026-03-22 14:19:00,Bug/Error,high,negative
TK-101538,Do you have API documentation,Not happy about this. Do you have API documentation. Any update would help.,web_form,Medium,2026-05-22 16:55:00,General,medium,negative
TK-101539,Getting a 500 error on checkout,This is really frustrating. Getting a 500 error on checkout. Any update would help.,chat,Low,2026-02-21 10:08:00,Bug/Error,high,negative
TK-101540,SSO redirect keeps failing,I've been waiting for days!! SSO redirect keeps failing. Any update would help.,phone,Medium,2026-03-04 21:38:00,Login/Access,high,negative
TK-101541,Need bulk edit functionality,Not happy about this. Need bulk edit functionality. Can someone look into this?,web_form,Medium,2026-06-04 10:55:00,Feature Request,medium,negative
TK-101530,Package arrived damaged,I've been waiting for days!! Package arrived damaged. Please advise.,web_form,Medium,2026-02-01 03:25:00,Shipping,high,negative
TK-101531,Wrong item was delivered,This is really frustrating. Wrong item was delivered. Let me know next steps.,chat,Medium,2026-04-13 17:26:00,Shipping,high,negative
TK-101532,Wrong item was delivered,Thanks for your help. Wrong item was delivered. I need this resolved.,chat,Urgent,2026-06-11 03:42:00,Shipping,high,negative
TK-101533,Add integration with Slack,I've been waiting for days!! Add integration with Slack. I need this resolved.,web_form,Urgent,2026-04-26 05:59:00,Feature Request,high,negative
TK-101518,Where is my order,Thanks for your help. Where is my order. I need this resolved.,web_form,High,2026-04-19 12:01:00,Shipping,high,positive
TK-101519,How do I change my email,I've been waiting for days!! How do I change my email. Can someone look into this?,chat,Medium,2026-02-19 18:16:00,Login/Access,high,negative
TK-101520,Why did my subscription price go up,Please respond ASAP. Why did my subscription price go up. Any update would help.,web_form,High,2026-02-25 13:17:00,Billing,medium,neutral
TK-101521,How do I change my email,Please respond ASAP. How do I change my email. Any update would help.,chat,Low,2026-02-16 21:18:00,Login/Access,low,neutral
TK-101658,Invoice shows wrong amount,I've been waiting for days!! Invoice shows wrong amount. Please advise.,chat,Urgent,2026-06-16 01:57:00,Billing,high,negative
TK-101659,Cannot log into my account,Not happy about this. Cannot log into my account. I need this resolved.,twitter,High,2026-01-17 23:17:00,Login/Access,high,negative
TK-101660,Invoice shows wrong amount,I've been waiting for days!! Invoice shows wrong amount. Any update would help.,web_form,Urgent,2026-06-30 04:25:00,Billing,high,negative
TK-101661,Wrong item was delivered,Thanks for your help. Wrong item was delivered. Let me know next steps.,web_form,High,2026-05-26 16:26:00,Shipping,low,positive
TK-101614,Refund not received yet,This is really frustrating. Refund not received yet. Can someone look into this?,web_form,Medium,2026-02-06 20:02:00,Billing,high,negative
TK-101615,App crashes when I upload a file,Please respond ASAP. App crashes when I upload a file. Any update would help.,twitter,Urgent,2026-05-04 11:12:00,Bug/Error,high,negative
TK-101616,Account locked after failed attempts,Please respond ASAP. Account locked after failed attempts. I need this resolved.,chat,High,2026-05-20 14:07:00,Login/Access,high,negative
TK-101617,Two-factor code not working,Thanks for your help. Two-factor code not working. Any update would help.,email,High,2026-05-21 14:42:00,Login/Access,medium,positive
TK-101590,Wrong item was delivered,Wrong item was delivered. Please advise.,web_form,High,2026-04-10 00:00:00,Shipping,medium,negative
TK-101591,Two-factor code not working,This is really frustrating. Two-factor code not working. Please advise.,phone,Medium,2026-06-22 10:34:00,Login/Access,high,negative
TK-101592,Data not syncing between devices,This is really frustrating. Data not syncing between devices. Let me know next steps.,web_form,Low,2026-02-07 06:19:00,Bug/Error,high,negative
TK-101593,Delivery is two weeks late,Delivery is two weeks late. Let me know next steps.,chat,High,2026-05-19 11:04:00,Shipping,medium,neutral
TK-102256,Where is my order,This is really frustrating. Where is my order. Please advise.,chat,Urgent,2026-04-27 16:32:00,Shipping,high,negative
TK-101618,App crashes when I upload a file,Thanks for your help. App crashes when I upload a file. Any update would help.,web_form,Low,2026-06-14 00:34:00,Bug/Error,medium,positive
TK-101619,Please add dark mode,Please add dark mode. Please advise.,chat,High,2026-03-17 04:55:00,Feature Request,low,neutral
TK-101620,Need bulk edit functionality,Need bulk edit functionality. Please advise.,twitter,Medium,2026-02-16 12:52:00,Feature Request,low,neutral
TK-101621,Is there a student discount,Is there a student discount. Let me know next steps.,web_form,Low,2026-04-01 16:38:00,Feature Request,low,neutral
TK-101582,Refund not received yet,Refund not received yet. I need this resolved.,web_form,Medium,2026-04-03 14:47:00,Billing,high,negative
TK-101583,Would love a mobile app,I've been waiting for days!! Would love a mobile app. I need this resolved.,chat,High,2026-03-27 06:43:00,Feature Request,medium,negative
TK-101584,How do I change my email,This is really frustrating. How do I change my email. Can someone look into this?,phone,Urgent,2026-06-14 13:27:00,Login/Access,high,negative
TK-101585,Where is my order,Please respond ASAP. Where is my order. I need this resolved.,email,High,2026-01-05 18:27:00,Shipping,high,negative
TK-101777,Wrong item was delivered,Thanks for your help. Wrong item was delivered. Let me know next steps.,email,High,2026-03-25 08:25:00,Shipping,low,positive
TK-101778,Cancel my plan and refund me,Please respond ASAP. Cancel my plan and refund me. Please advise.,email,Low,2026-04-14 06:11:00,Billing,high,negative
TK-101779,Refund not received yet,This is really frustrating. Refund not received yet. Please advise.,web_form,High,2026-03-18 22:43:00,Billing,high,negative
TK-101780,Please add dark mode,Not happy about this. Please add dark mode. Let me know next steps.,twitter,Low,2026-05-26 08:13:00,Feature Request,medium,negative
TK-101921,Cancel my plan and refund me,Cancel my plan and refund me. Can someone look into this?,twitter,Urgent,2026-03-12 17:52:00,Billing,high,negative
TK-101922,Wrong item was delivered,Please respond ASAP. Wrong item was delivered. Can someone look into this?,twitter,High,2026-05-08 18:13:00,Shipping,high,negative
TK-101923,Account locked after failed attempts,Please respond ASAP. Account locked after failed attempts. I need this resolved.,web_form,Low,2026-02-15 17:41:00,Login/Access,high,negative
TK-101924,Please add dark mode,Thanks for your help. Please add dark mode. Let me know next steps.,web_form,High,2026-05-03 00:06:00,Feature Request,low,positive
TK-101682,Cancel my plan and refund me,Not happy about this. Cancel my plan and refund me. Please advise.,chat,Low,2026-05-15 05:32:00,Billing,high,negative
TK-101683,Cancel my plan and refund me,This is really frustrating. Cancel my plan and refund me. Let me know next steps.,web_form,Urgent,2026-03-23 02:45:00,Billing,high,negative
TK-101684,Delivery is two weeks late,Delivery is two weeks late. Can someone look into this?,email,High,2026-04-08 06:57:00,Shipping,medium,neutral
TK-101685,Two-factor code not working,This is really frustrating. Two-factor code not working. Any update would help.,phone,Low,2026-02-28 11:58:00,Login/Access,high,negative
TK-101562,Cancel my plan and refund me,Cancel my plan and refund me. Any update would help.,twitter,Medium,2026-02-20 03:34:00,Billing,high,negative
TK-101563,Can you support CSV export,Please respond ASAP. Can you support CSV export. Can someone look into this?,email,Urgent,2026-05-29 13:55:00,Feature Request,medium,neutral
TK-101564,SSO redirect keeps failing,Not happy about this. SSO redirect keeps failing. Please advise.,phone,High,2026-04-27 00:16:00,Login/Access,high,negative
TK-101565,Is there a student discount,Thanks for your help. Is there a student discount. Please advise.,chat,High,2026-05-04 16:18:00,General,low,positive
TK-101558,Need bulk edit functionality,Please respond ASAP. Need bulk edit functionality. Let me know next steps.,web_form,Medium,2026-03-04 08:51:00,Feature Request,low,neutral
TK-101559,How do I contact sales,This is really frustrating. How do I contact sales. Can someone look into this?,chat,Low,2026-06-05 08:35:00,General,medium,negative
TK-101560,How do I change my email,This is really frustrating. How do I change my email. Please advise.,web_form,Medium,2026-03-19 01:13:00,Login/Access,high,negative
TK-101561,Tracking number is invalid,I've been waiting for days!! Tracking number is invalid. Can someone look into this?,email,Medium,2026-05-18 01:20:00,Shipping,high,negative
TK-102206,App crashes when I upload a file,I've been waiting for days!! App crashes when I upload a file. Let me know next steps.,web_form,Urgent,2026-02-10 11:37:00,Bug/Error,high,negative
TK-102263,Delivery is two weeks late,This is really frustrating. Delivery is two weeks late. Let me know next steps.,email,Low,2026-02-07 03:02:00,Shipping,high,negative
TK-101606,Cancel my plan and refund me,Cancel my plan and refund me. Let me know next steps.,phone,Medium,2026-04-15 01:34:00,Billing,high,negative
TK-101607,I was charged twice this month,Thanks for your help. I was charged twice this month. Let me know next steps.,email,Urgent,2026-01-24 13:04:00,Billing,high,negative
TK-101608,Need bulk edit functionality,I've been waiting for days!! Need bulk edit functionality. Let me know next steps.,chat,Urgent,2026-06-04 20:00:00,Feature Request,medium,negative
TK-101609,Getting a 500 error on checkout,Thanks for your help. Getting a 500 error on checkout. Please advise.,email,Urgent,2026-04-04 19:42:00,Bug/Error,medium,positive
TK-101666,Can you support CSV export,I've been waiting for days!! Can you support CSV export. Can someone look into this?,web_form,Medium,2026-02-17 08:25:00,Feature Request,high,negative
TK-101667,How do I change my email,Thanks for your help. How do I change my email. Any update would help.,email,Low,2026-01-25 16:16:00,General,low,positive
TK-101668,Why did my subscription price go up,Why did my subscription price go up. Let me know next steps.,email,High,2026-01-01 16:00:00,Billing,medium,neutral
TK-101669,App crashes when I upload a file,Please respond ASAP. App crashes when I upload a file. Please advise.,web_form,Urgent,2026-04-06 02:11:00,Bug/Error,high,negative
TK-102219,Can you support CSV export,Please respond ASAP. Can you support CSV export. Any update would help.,twitter,Medium,2026-06-07 21:34:00,Feature Request,medium,positive
TK-102220,Tracking number is invalid,Not happy about this. Tracking number is invalid. Please advise.,twitter,Urgent,2026-05-21 14:19:00,Shipping,high,negative
TK-102221,App crashes when I upload a file,Thanks for your help. App crashes when I upload a file. I need this resolved.,email,Low,2026-05-31 08:20:00,Bug/Error,medium,negative
TK-102222,Package arrived damaged,Not happy about this. Package arrived damaged. Please advise.,phone,High,2026-06-23 05:03:00,Shipping,high,negative
TK-102207,Delivery is two weeks late,This is really frustrating. Delivery is two weeks late. Can someone look into this?,web_form,High,2026-05-09 18:50:00,Shipping,high,negative
TK-102208,Need bulk edit functionality,Not happy about this. Need bulk edit functionality. Please advise.,phone,Medium,2026-02-28 19:02:00,Feature Request,medium,negative
TK-102209,Add integration with Slack,This is really frustrating. Add integration with Slack. Please advise.,email,Urgent,2026-04-24 19:36:00,Feature Request,medium,negative
TK-102210,Where is my order,Where is my order. I need this resolved.,email,Medium,2026-01-19 06:53:00,Shipping,high,negative
TK-101646,I was charged twice this month,This is really frustrating. I was charged twice this month. Please advise.,twitter,High,2026-03-21 16:44:00,Billing,high,negative
TK-101647,Package arrived damaged,I've been waiting for days!! Package arrived damaged. Please advise.,email,Low,2026-06-28 02:12:00,Shipping,high,negative
TK-101648,Tracking number is invalid,Thanks for your help. Tracking number is invalid. Let me know next steps.,phone,Medium,2026-03-29 17:22:00,Shipping,medium,positive
TK-101649,Why did my subscription price go up,Please respond ASAP. Why did my subscription price go up. Please advise.,phone,Low,2026-01-22 10:14:00,Billing,medium,neutral
TK-101550,SSO redirect keeps failing,Not happy about this. SSO redirect keeps failing. I need this resolved.,chat,Medium,2026-05-02 22:28:00,Bug/Error,high,negative
TK-101551,Password reset email never arrives,Please respond ASAP. Password reset email never arrives. I need this resolved.,web_form,Low,2026-04-09 08:40:00,Login/Access,high,negative
TK-101552,Wrong item was delivered,This is really frustrating. Wrong item was delivered. Please advise.,twitter,Urgent,2026-01-04 08:23:00,Shipping,high,negative
TK-101553,Package arrived damaged,Thanks for your help. Package arrived damaged. Let me know next steps.,twitter,High,2026-05-31 16:20:00,Shipping,medium,positive
TK-102264,Password reset email never arrives,Password reset email never arrives. Can someone look into this?,phone,Urgent,2026-01-17 22:33:00,Login/Access,medium,neutral
TK-102265,Please add dark mode,Please add dark mode. Can someone look into this?,twitter,Urgent,2026-05-11 20:38:00,Feature Request,medium,neutral
TK-101578,Add integration with Slack,This is really frustrating. Add integration with Slack. I need this resolved.,email,Low,2026-06-05 18:24:00,Feature Request,high,negative
TK-101579,What are your business hours,Thanks for your help. What are your business hours. Please advise.,chat,Low,2026-04-05 14:59:00,General,low,positive
TK-101580,Cannot log into my account,Thanks for your help. Cannot log into my account. Any update would help.,chat,Medium,2026-02-08 04:37:00,Login/Access,medium,positive
TK-101581,Cancel my plan and refund me,This is really frustrating. Cancel my plan and refund me. I need this resolved.,chat,High,2026-05-27 17:48:00,Billing,high,negative
TK-101670,Package arrived damaged,Thanks for your help. Package arrived damaged. Can someone look into this?,chat,Medium,2026-06-24 04:38:00,Shipping,medium,positive
TK-101671,Is there a student discount,Please respond ASAP. Is there a student discount. Let me know next steps.,email,Low,2026-04-24 00:39:00,General,low,neutral
TK-101672,App crashes when I upload a file,Thanks for your help. App crashes when I upload a file. Let me know next steps.,email,Urgent,2026-06-01 16:10:00,Bug/Error,medium,positive
TK-101673,Package arrived damaged,Please respond ASAP. Package arrived damaged. I need this resolved.,phone,Urgent,2026-04-27 21:35:00,Shipping,high,negative
TK-102259,Would love a mobile app,Would love a mobile app. Can someone look into this?,phone,High,2026-06-03 17:47:00,Feature Request,low,positive
TK-102260,Getting a 500 error on checkout,This is really frustrating. Getting a 500 error on checkout. Please advise.,phone,Medium,2026-06-16 07:37:00,Bug/Error,high,negative
TK-102261,Password reset email never arrives,Please respond ASAP. Password reset email never arrives. Can someone look into this?,twitter,Urgent,2026-02-08 03:41:00,Login/Access,high,negative
TK-102262,Would love a mobile app,Please respond ASAP. Would love a mobile app. Let me know next steps.,twitter,Low,2026-02-14 16:55:00,Feature Request,low,positive
TK-101598,Do you have API documentation,Thanks for your help. Do you have API documentation. I need this resolved.,email,High,2026-04-17 06:13:00,General,low,positive
TK-101599,Data not syncing between devices,Data not syncing between devices. Any update would help.,phone,Urgent,2026-01-05 00:24:00,Bug/Error,medium,neutral
TK-101600,Dashboard shows blank screen,Thanks for your help. Dashboard shows blank screen. Can someone look into this?,web_form,Low,2026-04-22 20:19:00,Bug/Error,medium,positive
TK-101601,How do I contact sales,I've been waiting for days!! How do I contact sales. Can someone look into this?,chat,Low,2026-03-12 23:41:00,General,high,negative
TK-101594,Is there a student discount,This is really frustrating. Is there a student discount. I need this resolved.,web_form,Medium,2026-02-11 13:17:00,Billing,high,negative
TK-101595,Refund not received yet,I've been waiting for days!! Refund not received yet. Can someone look into this?,web_form,Urgent,2026-04-07 00:28:00,Billing,high,negative
TK-101596,Add integration with Slack,I've been waiting for days!! Add integration with Slack. Let me know next steps.,email,Low,2026-02-22 12:37:00,Feature Request,medium,negative
TK-101597,Delivery is two weeks late,Not happy about this. Delivery is two weeks late. Please advise.,web_form,Low,2026-02-01 05:48:00,Shipping,high,negative
TK-102277,Package arrived damaged,Please respond ASAP. Package arrived damaged. Any update would help.,twitter,Low,2026-05-23 17:33:00,Shipping,high,negative
TK-102272,Add integration with Slack,Thanks for your help. Add integration with Slack. Can someone look into this?,phone,High,2026-01-19 00:57:00,Feature Request,low,positive
TK-102268,Invoice shows wrong amount,Please respond ASAP. Invoice shows wrong amount. Can someone look into this?,twitter,Medium,2026-05-04 08:26:00,Billing,high,negative
TK-102269,Dashboard shows blank screen,I've been waiting for days!! Dashboard shows blank screen. Please advise.,email,Low,2026-03-22 21:50:00,Bug/Error,high,negative
TK-102270,Cannot log into my account,I've been waiting for days!! Cannot log into my account. Any update would help.,chat,High,2026-02-16 00:23:00,Login/Access,high,negative
TK-102271,Add integration with Slack,Add integration with Slack. I need this resolved.,phone,Urgent,2026-01-06 22:02:00,Feature Request,medium,neutral
TK-102282,Dashboard shows blank screen,Please respond ASAP. Dashboard shows blank screen. I need this resolved.,phone,High,2026-01-31 14:31:00,Bug/Error,high,negative
TK-102292,What are your business hours,Not happy about this. What are your business hours. Any update would help.,phone,Low,2026-03-03 02:08:00,General,low,negative
TK-102287,Dashboard shows blank screen,I've been waiting for days!! Dashboard shows blank screen. Can someone look into this?,twitter,Medium,2026-03-23 13:49:00,Bug/Error,high,negative
TK-102293,Wrong item was delivered,Wrong item was delivered. Any update would help.,chat,Low,2026-01-17 01:50:00,Shipping,medium,negative
TK-102294,Invoice shows wrong amount,Thanks for your help. Invoice shows wrong amount. Can someone look into this?,phone,Low,2026-06-06 05:54:00,Billing,medium,positive
TK-102295,Why did my subscription price go up,This is really frustrating. Why did my subscription price go up. Any update would help.,email,High,2026-01-21 23:56:00,Billing,high,negative
TK-102296,Please add dark mode,Please respond ASAP. Please add dark mode. Let me know next steps.,phone,Low,2026-02-21 01:02:00,Feature Request,low,positive
TK-102283,Refund not received yet,I've been waiting for days!! Refund not received yet. I need this resolved.,email,Low,2026-04-09 19:11:00,Billing,high,negative
TK-102284,Do you have API documentation,This is really frustrating. Do you have API documentation. I need this resolved.,twitter,Urgent,2026-01-24 19:45:00,General,high,negative
TK-102285,Can you support CSV export,This is really frustrating. Can you support CSV export. Let me know next steps.,chat,Low,2026-02-06 19:30:00,General,high,negative
TK-102286,Why did my subscription price go up,Not happy about this. Why did my subscription price go up. I need this resolved.,twitter,High,2026-03-10 04:06:00,Billing,high,negative
TK-101622,Data not syncing between devices,This is really frustrating. Data not syncing between devices. Please advise.,email,Medium,2026-02-12 11:10:00,Bug/Error,high,negative
TK-101623,Do you have API documentation,This is really frustrating. Do you have API documentation. Let me know next steps.,web_form,High,2026-05-19 19:27:00,General,medium,negative
TK-101624,Can you support CSV export,I've been waiting for days!! Can you support CSV export. Please advise.,chat,Medium,2026-04-18 15:29:00,Feature Request,high,negative
TK-101625,App crashes when I upload a file,App crashes when I upload a file. I need this resolved.,web_form,Low,2026-05-23 21:19:00,Bug/Error,high,negative
TK-101566,Two-factor code not working,Thanks for your help. Two-factor code not working. Please advise.,phone,Low,2026-05-09 09:40:00,Login/Access,medium,positive
TK-101567,Please add dark mode,Thanks for your help. Please add dark mode. Please advise.,web_form,Low,2026-05-01 15:10:00,Feature Request,low,positive
TK-101568,What are your business hours,What are your business hours. Any update would help.,twitter,Medium,2026-03-29 20:43:00,General,low,positive
TK-101569,Refund not received yet,This is really frustrating. Refund not received yet. I need this resolved.,twitter,Urgent,2026-05-09 09:20:00,Billing,high,negative
TK-101654,Getting a 500 error on checkout,Thanks for your help. Getting a 500 error on checkout. Please advise.,web_form,High,2026-04-02 02:44:00,Bug/Error,medium,positive
TK-101655,SSO redirect keeps failing,Please respond ASAP. SSO redirect keeps failing. Let me know next steps.,phone,High,2026-01-25 16:45:00,Bug/Error,high,negative
TK-101656,Package arrived damaged,Not happy about this. Package arrived damaged. I need this resolved.,web_form,Urgent,2026-06-29 20:35:00,Shipping,high,negative
TK-101657,Where is my order,I've been waiting for days!! Where is my order. Please advise.,phone,Low,2026-04-23 15:37:00,Shipping,high,negative
TK-101546,What are your business hours,This is really frustrating. What are your business hours. Let me know next steps.,email,High,2026-05-04 06:16:00,General,medium,negative
TK-101547,How do I change my email,I've been waiting for days!! How do I change my email. Any update would help.,chat,Urgent,2026-03-04 08:21:00,Login/Access,high,negative
TK-101548,Can you support CSV export,Please respond ASAP. Can you support CSV export. I need this resolved.,web_form,Medium,2026-06-02 01:48:00,Feature Request,medium,neutral
TK-101549,App crashes when I upload a file,This is really frustrating. App crashes when I upload a file. I need this resolved.,chat,High,2026-05-25 11:45:00,Bug/Error,high,negative
TK-102266,Please add dark mode,Please add dark mode. Please advise.,chat,Urgent,2026-01-22 09:12:00,Feature Request,low,neutral
TK-102267,App crashes when I upload a file,Not happy about this. App crashes when I upload a file. Let me know next steps.,chat,Medium,2026-05-22 09:59:00,Bug/Error,high,negative
TK-102297,Wrong item was delivered,Not happy about this. Wrong item was delivered. Can someone look into this?,email,High,2026-01-02 15:16:00,Shipping,high,negative
TK-101662,Where is my order,Not happy about this. Where is my order. I need this resolved.,email,Low,2026-05-31 03:49:00,Shipping,high,negative
TK-101663,Would love a mobile app,Not happy about this. Would love a mobile app. Let me know next steps.,web_form,Medium,2026-03-05 19:49:00,Feature Request,low,negative
TK-101664,How do I contact sales,Not happy about this. How do I contact sales. Can someone look into this?,phone,Urgent,2026-03-26 02:06:00,General,medium,negative
TK-101665,Add integration with Slack,This is really frustrating. Add integration with Slack. I need this resolved.,chat,Medium,2026-02-16 03:19:00,Feature Request,high,negative
TK-101631,What are your business hours,Thanks for your help. What are your business hours. Can someone look into this?,phone,Urgent,2026-04-08 08:07:00,General,low,positive
TK-101632,Account locked after failed attempts,Thanks for your help. Account locked after failed attempts. Let me know next steps.,twitter,High,2026-05-14 03:05:00,Login/Access,high,positive
TK-101633,How do I contact sales,Not happy about this. How do I contact sales. Any update would help.,email,High,2026-04-18 01:40:00,General,low,negative
TK-102278,Tracking number is invalid,Please respond ASAP. Tracking number is invalid. Can someone look into this?,twitter,Urgent,2026-04-04 00:23:00,Shipping,high,negative
TK-102279,Export button does nothing,Export button does nothing. Please advise.,twitter,Medium,2026-04-27 12:01:00,Bug/Error,medium,neutral
TK-102280,I was charged twice this month,This is really frustrating. I was charged twice this month. Any update would help.,twitter,Medium,2026-06-29 11:29:00,Billing,high,negative
TK-102281,Why did my subscription price go up,Why did my subscription price go up. Please advise.,web_form,Low,2026-01-02 18:23:00,Billing,medium,neutral
TK-102315,Refund not received yet,I've been waiting for days!! Refund not received yet. Can someone look into this?,chat,Medium,2026-01-21 10:07:00,Billing,high,negative
TK-102320,Refund not received yet,Not happy about this. Refund not received yet. Please advise.,chat,Medium,2026-01-31 00:17:00,Billing,high,negative
TK-102273,I was charged twice this month,Not happy about this. I was charged twice this month. Let me know next steps.,phone,High,2026-03-14 00:51:00,Billing,high,negative
TK-102274,Need bulk edit functionality,Please respond ASAP. Need bulk edit functionality. I need this resolved.,twitter,Low,2026-06-08 15:02:00,Feature Request,medium,positive
TK-102275,Package arrived damaged,I've been waiting for days!! Package arrived damaged. Any update would help.,twitter,Medium,2026-05-21 06:18:00,Shipping,high,negative
TK-102276,Delivery is two weeks late,Please respond ASAP. Delivery is two weeks late. Please advise.,twitter,Urgent,2026-04-14 05:24:00,Shipping,high,negative
TK-102316,Two-factor code not working,Not happy about this. Two-factor code not working. Please advise.,twitter,High,2026-03-08 14:40:00,Login/Access,high,negative
TK-102317,Can you support CSV export,Can you support CSV export. Any update would help.,web_form,Medium,2026-01-26 14:45:00,Feature Request,low,positive
TK-102318,Delivery is two weeks late,Delivery is two weeks late. I need this resolved.,email,Medium,2026-06-01 21:23:00,Shipping,high,negative
TK-102319,I was charged twice this month,I was charged twice this month. Any update would help.,web_form,High,2026-03-15 21:39:00,Billing,high,negative
TK-102326,Add integration with Slack,Thanks for your help. Add integration with Slack. Can someone look into this?,twitter,High,2026-06-28 07:30:00,Feature Request,low,positive
TK-102327,Is there a student discount,Not happy about this. Is there a student discount. Let me know next steps.,chat,High,2026-06-19 06:36:00,General,low,negative
TK-102325,Cancel my plan and refund me,Please respond ASAP. Cancel my plan and refund me. Any update would help.,twitter,Urgent,2026-05-21 01:04:00,Billing,high,negative
TK-102334,Getting a 500 error on checkout,Getting a 500 error on checkout. Let me know next steps.,phone,Urgent,2026-01-30 02:24:00,Bug/Error,high,neutral
TK-102288,Package arrived damaged,This is really frustrating. Package arrived damaged. I need this resolved.,twitter,Low,2026-05-08 00:45:00,Shipping,high,negative
TK-102289,Cancel my plan and refund me,This is really frustrating. Cancel my plan and refund me. I need this resolved.,phone,Medium,2026-04-15 08:03:00,Billing,high,negative
TK-102290,Two-factor code not working,I've been waiting for days!! Two-factor code not working. Let me know next steps.,twitter,High,2026-05-09 05:58:00,Login/Access,high,negative
TK-102291,App crashes when I upload a file,App crashes when I upload a file. Can someone look into this?,twitter,Medium,2026-05-05 16:41:00,Bug/Error,medium,neutral
TK-102301,Data not syncing between devices,Data not syncing between devices. Let me know next steps.,chat,Low,2026-01-19 01:16:00,Bug/Error,medium,neutral
TK-102302,Data not syncing between devices,Not happy about this. Data not syncing between devices. Please advise.,web_form,Low,2026-04-14 07:43:00,Bug/Error,high,negative
TK-102303,Getting a 500 error on checkout,Not happy about this. Getting a 500 error on checkout. I need this resolved.,web_form,High,2026-04-23 08:33:00,Bug/Error,high,negative
TK-102304,Need bulk edit functionality,Need bulk edit functionality. Any update would help.,email,Urgent,2026-03-11 17:27:00,Feature Request,low,positive
TK-102307,Where is my order,Thanks for your help. Where is my order. I need this resolved.,phone,High,2026-01-14 14:52:00,Shipping,high,positive
TK-102308,Cancel my plan and refund me,Thanks for your help. Cancel my plan and refund me. Any update would help.,email,High,2026-06-08 10:22:00,Billing,low,positive
TK-102309,Password reset email never arrives,Please respond ASAP. Password reset email never arrives. Let me know next steps.,twitter,High,2026-01-03 19:02:00,Login/Access,high,negative
TK-102310,I was charged twice this month,I've been waiting for days!! I was charged twice this month. I need this resolved.,email,Medium,2026-01-08 21:38:00,Bug/Error,high,negative
TK-102305,SSO redirect keeps failing,Please respond ASAP. SSO redirect keeps failing. Let me know next steps.,twitter,Medium,2026-03-06 09:59:00,Bug/Error,high,negative
TK-102306,Getting a 500 error on checkout,Thanks for your help. Getting a 500 error on checkout. Let me know next steps.,chat,Urgent,2026-04-08 20:54:00,Bug/Error,medium,positive
TK-101554,Would love a mobile app,Please respond ASAP. Would love a mobile app. Any update would help.,phone,Low,2026-02-14 15:57:00,Feature Request,low,positive
TK-101555,Why did my subscription price go up,This is really frustrating. Why did my subscription price go up. I need this resolved.,chat,Low,2026-02-22 07:09:00,Billing,high,negative
TK-101556,Two-factor code not working,I've been waiting for days!! Two-factor code not working. Any update would help.,email,Medium,2026-05-26 20:58:00,Login/Access,high,negative
TK-101557,App crashes when I upload a file,I've been waiting for days!! App crashes when I upload a file. Can someone look into this?,chat,Low,2026-03-26 16:04:00,Bug/Error,high,negative
TK-102311,I was charged twice this month,I've been waiting for days!! I was charged twice this month. Please advise.,email,Medium,2026-04-10 03:38:00,Bug/Error,high,negative
TK-102312,Export button does nothing,Not happy about this. Export button does nothing. Any update would help.,web_form,Medium,2026-01-14 21:44:00,Bug/Error,high,negative
TK-102313,Cancel my plan and refund me,Not happy about this. Cancel my plan and refund me. Please advise.,chat,Low,2026-04-05 07:20:00,Billing,high,negative
TK-102314,Cannot log into my account,Cannot log into my account. Let me know next steps.,chat,High,2026-02-16 14:57:00,Login/Access,high,negative
TK-102321,Account locked after failed attempts,Account locked after failed attempts. Please advise.,chat,Low,2026-06-06 22:48:00,Login/Access,high,neutral
TK-102322,Wrong item was delivered,Not happy about this. Wrong item was delivered. Please advise.,chat,Medium,2026-01-25 07:41:00,Shipping,high,negative
TK-102323,Dashboard shows blank screen,This is really frustrating. Dashboard shows blank screen. I need this resolved.,web_form,Low,2026-06-25 18:21:00,Bug/Error,high,negative
TK-102324,Please add dark mode,Please add dark mode. Can someone look into this?,twitter,Low,2026-04-15 15:36:00,Feature Request,medium,neutral
TK-102298,What are your business hours,Not happy about this. What are your business hours. I need this resolved.,twitter,Urgent,2026-02-28 20:09:00,General,high,negative
TK-102299,Delivery is two weeks late,Please respond ASAP. Delivery is two weeks late. Let me know next steps.,twitter,High,2026-04-16 11:08:00,Shipping,high,negative
TK-102300,Please add dark mode,I've been waiting for days!! Please add dark mode. Can someone look into this?,web_form,Urgent,2026-06-09 23:32:00,Feature Request,medium,negative
